TABLE_SCHEMA;TABLE_NAME;SoDong
dbo;BCQT_GC_HD;0
dbo;BCQT_MMTB;0
dbo;BCQT_MMTB_CHITIET;0
dbo;BCQT_MMTB_HD;0
dbo;BCQT_SXXK;0
dbo;BCQT_SXXK_CHITIET;0
dbo;BKXNTNPL_HQ;0
dbo;BQ_DON_HANG;0
dbo;BQ_DON_HANG_CT;0
dbo;BQ_FILE_DINH_KEM;0
dbo;CANHBAO_HS;0
dbo;CHUNG_TU_CU;0
dbo;CONFIG_XML;0
dbo;CONFIG_XML_FILE_TYPE;0
dbo;CONFIG_XML_FILE_TYPE_USER;0
dbo;CONFIG_XML_MAP_DVT;0
dbo;CONFIG_XML_MAP_MALH;0
dbo;CONFIG_XML_THUE;0
dbo;CSSX_HD;0
dbo;CSSX_HD_CHUKY;0
dbo;CSSX_HD_NANGLUC;0
dbo;CSSX_HD_THONGTIN;0
dbo;CTImages;0
dbo;CX_DBKHANGXUATCX;0
dbo;CX_DCHITIETNT;0
dbo;CX_DDINHMUC;0
dbo;CX_DDINHMUC_SUA;0
dbo;CX_DDINHMUC_TT;0
dbo;CX_DDINHMUC_VN;0
dbo;CX_DDSTKNFIFO;0
dbo;CX_DDSTKXFIFO;0
dbo;CX_DLANTHANHLY;0
dbo;CX_DNPLCHUATL;0
dbo;CX_DNPLNTMAN;0
dbo;CX_DNPLSDMAN;0
dbo;CX_DNPLTXMAN;0
dbo;CX_DNPLXGC;0
dbo;CX_DNPLXHMAN;0
dbo;CX_DTHXNTNPL;0
dbo;CX_ECX_NPLNHAP;0
dbo;CX_ECX_NPLNHAP_LOG;0
dbo;CX_ECX_NPLNHAP_TL;0
dbo;CX_ECX_NPLSD_TL;0
dbo;CX_ECX_NPLTX_TL;0
dbo;CX_ECX_NPLXUAT;0
dbo;CX_ECX_NPLXUAT_TL;0
dbo;CX_EINBC_TL_NPL;0
dbo;CX_EINBC_TL_TK;0
dbo;CX_ENPLNHAP;0
dbo;CX_ENPLNHAP_TL;0
dbo;CX_ENPLXUAT;0
dbo;CX_ENPLXUAT_AM_TL;0
dbo;CX_ENPLXUAT_TL;0
dbo;CX_ETHUE_TL;0
dbo;CX_ETLNPLNT_CT;0
dbo;CX_ETLNPLSD;0
dbo;CX_ETLNPLSD_TH;0
dbo;CX_ETLNPLTX_CT;0
dbo;CX_ETLNPLXH_CT;0
dbo;CX_KBDM;0
dbo;CX_KBDM_LANSUA;0
dbo;CX_KBDM_SUA;0
dbo;CX_KBGIAITRINH;0
dbo;CX_KBGIAITRINH_NPL;0
dbo;CX_KBHANGTON;0
dbo;CX_KBHANGTON_LANSUA;0
dbo;CX_KBHANGTON_NPL;0
dbo;CX_KBHANGTON_NPL_SUA;0
dbo;CX_KBHANGTON_SUA;0
dbo;CX_KBHM;0
dbo;CX_KBHM_LANSUA;0
dbo;CX_KBNPL_LANSUA;0
dbo;CX_KBNPL_SUA;0
dbo;CX_KBNPLTX;0
dbo;CX_KBQUYETDINHKT;0
dbo;CX_KBSP_LANSUA;0
dbo;CX_KBSP_SUA;0
dbo;CX_KBTB;0
dbo;CX_KBTB_LANSUA;0
dbo;CX_KBTHANHLYTS;0
dbo;CX_KBTHANHLYTS_NPL;0
dbo;CX_KBTIEUHUY;0
dbo;CX_KBTIEUHUY_NPL;0
dbo;CX_KBTL;0
dbo;CX_NPLTX;0
dbo;CX_SHM;0
dbo;CX_SHM_SUA;0
dbo;CX_SNPL_SUA;0
dbo;CX_SSP_DM_SUA;0
dbo;CX_SSP_SUA;0
dbo;CX_STB;0
dbo;CX_STB_SUA;0
dbo;CX_TKXTX;0
dbo;D_BIA;0
dbo;D_BIA_CON;0
dbo;D_BOA;0
dbo;D_DMF;0
dbo;D_DRM;0
dbo;D_IBA;0
dbo;D_IMI;0
dbo;D_IMI_A;0
dbo;D_IMI_B;0
dbo;D_IMI_OUT;0
dbo;D_MFR;0
dbo;D_MFR_CONTAINER;0
dbo;D_MFR_DETAIL;0
dbo;D_NVC;0
dbo;D_NVC_DETAIL;0
dbo;D_NVC_HANG;0
