Bang_Con;Cot_KhoaNgoai;Bang_Cha;Cot_KhoaChinh;CONSTRAINT_NAME
DNPLNTMAN;SOTK;DDSTKNFIFO;NAMDK;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;LAN_TL;DDSTKNFIFO;MA_LH;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;MA_DV;DDSTKNFIFO;MA_LH;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;MA_HQ;DDSTKNFIFO;MA_LH;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;MA_LH;DDSTKNFIFO;MA_LH;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;NAMDK;DDSTKNFIFO;MA_LH;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;SOTK;DDSTKNFIFO;MA_LH;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;LAN_TL;DDSTKNFIFO;MA_HQ;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;MA_DV;DDSTKNFIFO;MA_HQ;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;MA_HQ;DDSTKNFIFO;MA_HQ;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;MA_LH;DDSTKNFIFO;MA_HQ;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;NAMDK;DDSTKNFIFO;MA_HQ;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;SOTK;DDSTKNFIFO;MA_HQ;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;LAN_TL;DDSTKNFIFO;MA_DV;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;MA_DV;DDSTKNFIFO;MA_DV;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;MA_HQ;DDSTKNFIFO;MA_DV;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;MA_LH;DDSTKNFIFO;MA_DV;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;NAMDK;DDSTKNFIFO;MA_DV;FK_DNPLNTMAN_DDSTKNFIFO
DNPLNTMAN;SOTK;DDSTKNFIFO;MA_DV;FK_DNPLNTMAN_DDSTKNFIFO
DNPLSDMAN;LAN_TL;DDSTKNFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_DV;DDSTKNFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_HQ;DDSTKNFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_LH;DDSTKNFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;NAMDK;DDSTKNFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;SOTK;DDSTKNFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;SOTKX;DDSTKXFIFO;SOTKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;LAN_TL;DDSTKXFIFO;SOTKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_DV;DDSTKXFIFO;SOTKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQ;DDSTKXFIFO;SOTKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQX;DDSTKXFIFO;SOTKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_LHX;DDSTKXFIFO;SOTKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;NAMDKX;DDSTKXFIFO;SOTKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_DV;DDSTKXFIFO;NAMDKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQ;DDSTKXFIFO;NAMDKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQX;DDSTKXFIFO;NAMDKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_LHX;DDSTKXFIFO;NAMDKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;NAMDKX;DDSTKXFIFO;NAMDKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;SOTKX;DDSTKXFIFO;NAMDKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQ;DDSTKXFIFO;MA_LHX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQX;DDSTKXFIFO;MA_LHX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_LHX;DDSTKXFIFO;MA_LHX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;NAMDKX;DDSTKXFIFO;MA_LHX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;SOTKX;DDSTKXFIFO;MA_LHX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;LAN_TL;DDSTKXFIFO;NAMDKX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQX;DDSTKXFIFO;MA_HQX;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_LHX;DDSTKXFIFO;MA_HQX;FK_DNPLSDMAN_DDSTKXFIFO
